"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC4350053",8.53437146887682,8.19196621721177,8.71414121742662,8.8315341592873
"LOC4350054",12.6655745570318,12.4205137177993,13.8090507386359,13.9163294294813
"LOC4350055",6.08021207718064,6.37656356414411,5.88952739114056,5.72981178934049
"LOC4350057",0,0,0,0
"LOC4350060",0,0,0,0
"LOC4350061",5.24546499063194,4.92733221667737,6.5596302953152,6.99451357059416
"LOC4350062",6.98158037080501,7.35916553356492,6.15511394160936,6.44333767179617
"LOC4350063",8.79314350595968,8.88058465746269,7.20427949147007,7.09019263229238
"LOC4350065",5.26724161492478,5.21478037785294,4.76417971736261,5.02105743206552
"LOC4350066",5.96774793853205,6.01620679500539,6.26271122742502,6.26099289804927
"LOC4350071",0,0,0,0
"LOC4350072",0,0,0,0
"LOC4350074",0,0,0,0
"LOC4350075",2.32859082765371,2.35986319360076,2.34760856129072,2.29659531663301
"LOC4350077",0.0273850378398453,-0.0381668869709191,-0.0118146012005716,-0.0387392421605661
"LOC4350078",9.32530008287902,9.36469227029378,8.77249451315074,8.56080026850907
"LOC4350079",6.135871200913,6.32629034992676,5.65914939019515,5.62321972354935
"LOC4350081",8.60878006802038,8.55157064558784,8.40471333265447,8.35372529328903
"LOC4350082",9.77792726595081,9.87110998121737,9.25173248100901,9.4786902217639
"LOC4350083",10.6692902497397,10.2606413814537,9.53593597719525,9.69796668525807
"LOC4350084",8.97811643095586,9.05629283513499,8.75439049350404,8.91418288838863
"LOC4350086",9.78967919903549,9.88732802038261,9.6198185503339,9.75971601626804
"LOC4350088",9.61795408606332,9.68288452714204,10.1267271116772,10.1625521284668
"LOC4350092",7.79505984462912,7.83083732754897,7.56825077370351,7.50724783434405
"LOC4350095",-0.472883950288279,-0.425134041470472,-0.472519876286909,-0.453095511002553
"LOC4350096",6.77745874904064,6.76644859612539,6.670896582595,6.55750050866406
"LOC4350097",7.86359843413725,7.80647718295383,8.3063984721261,8.21315604531464
"LOC4350098",11.9450834403301,11.7720088643479,11.9664860056513,11.8782134098151
"LOC4350099",6.10803448490706,5.88870636018844,6.13698603061277,6.16952272415032
"LOC4350100",0,0,0,0
"LOC4350103",0,0,0,0
"LOC4350105",0,0,0,0
"LOC4350107",0,0,0,0
"LOC4350108",0,0,0,0
"LOC4350109",5.06975166034149,4.98411122487232,5.02380545876059,5.27122635512671
"LOC4350110",0.767007085094633,0.881787543782113,0.745117524434269,0.743660229912085
"LOC4350112",7.41597903239845,7.30278082721253,6.58942027567286,6.51748368872472
"LOC4350116",7.00331782687009,7.01362536252579,6.18552995041748,6.30086351469621
"LOC4350117",9.95344961727341,10.1089082529828,9.74452698031405,9.66535123103086
"LOC4350121",0,0,0,0
"LOC4350122",0,0,0,0
"LOC4350125",7.35228449849771,7.3886060294191,7.43562482912748,7.57365864363495
"LOC4350127",6.03101300710438,5.52248272839792,5.73455295471826,5.39876936394821
"LOC4350129",0,0,0,0
"LOC4350130",7.00443336669996,7.16751963657914,6.64695021334413,6.4597698305555
"LOC4350132",10.0832685988938,10.1026074049517,9.2109150804943,9.48415843689672
"LOC4350133",-1.72829673971194,-1.72784370398162,-1.7273911871809,-1.71839970963333
"LOC4350136",0,0,0,0
"LOC4350137",-0.972221803600388,-1.01451429809411,-1.0135570966095,-1.01541594359091
"LOC4350138",12.0852782708617,12.1080400340306,13.0345111243136,12.814733581807
"LOC4350143",5.34217137547734,5.43471618170243,5.67839828377835,5.59051606507952
"LOC4350145",9.80766927545211,9.90964931214234,9.84535912500764,9.49898593787269
"LOC4350148",7.66873304513942,7.75881554369301,6.47362827450403,6.12618075176618
"LOC4350150",7.40442177878788,7.49137216848332,7.36432673598123,7.55124476445951
"LOC4350151",8.14203487357766,8.15639803057678,8.51413119707559,8.48038704764421
"LOC4350154",7.22369453576387,7.19298313590638,7.08578209304588,6.79955314772367
"LOC4350155",7.15491589235117,7.26344990583274,7.09428895087242,7.0766038445124
