"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4349902",9.25389510684747,9.02167209783468,9.20413285292123,9.66889933731398,9.82778167890655,9.55416888574769
"LOC4349906",5.67675327203171,5.74993852269715,5.68582052777935,5.36222195141318,5.64820524286424,5.70320290000211
"LOC4349912",7.04363054581809,6.80573211299535,7.14020288475487,6.90257910308873,6.8612299659948,6.46190422007005
"LOC4349913",13.8131070417526,13.8310905250757,13.9540544650023,13.8284138146266,13.78315773017,13.9186657890295
"LOC4349916",10.1074110927474,10.2128018167613,10.2957151353248,9.55776487325434,9.56804545891864,9.36560812788901
"LOC4349917",9.98102153062715,9.8093868451917,9.8201480706647,9.73505999657071,9.67818731696948,9.79735740785976
"LOC4349921",11.9509436590455,11.910851371847,12.0041342575542,12.0549370667823,11.9554631761707,11.9622682193371
"LOC4349922",4.50916756893594,4.41627767210923,4.44855964100708,4.0553447360934,3.86367076195334,4.20447269545559
"LOC4349923",11.3036471280372,11.2258049605972,11.2296612913816,11.3146047375294,11.3246760508285,11.3531844746022
"LOC4349924",10.8489825584283,10.9582299053679,11.0024848632067,10.833221975962,10.8410749589006,10.6591204427297
"LOC4349927",8.2921850037077,8.12587272809601,8.36958769216791,9.42716607690451,9.40641958730739,9.2830174732434
"LOC4349929",9.44351219473322,9.7066902012906,9.58208333479261,9.1515718593494,9.42477000394288,9.58778812261989
"LOC4349930",5.82010930857477,5.73618611611893,5.83300707189972,5.31692516552386,5.45015806585101,5.3759578226031
"LOC4349931",6.83388854189425,7.35160863535845,6.84456082615836,5.46817508762137,5.61758629277376,5.92559854974543
