"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_87",193,71,157,64,59,70,49,79,102,97,78,77,64,73,59,46,23,68,12,22,92,53,37,87,131,49,19,14,23,7,33,9,42,6,18
"ASV_88",42,147,28,16,108,69,76,21,31,61,187,17,58,81,53,0,113,72,28,14,72,155,0,81,150,114,0,0,18,0,39,19,68,18,70
"ASV_89",59,3,51,12,0,203,76,96,70,265,58,77,16,84,34,0,0,531,0,34,24,0,72,0,49,10,0,0,5,4,0,0,7,0,18
"ASV_90",0,7,0,7,0,0,11,0,0,3,0,0,3,9,6,0,0,0,166,25,163,188,62,208,206,60,24,35,86,19,178,204,109,25,103
"ASV_91",99,175,141,164,119,206,93,30,89,137,104,259,17,49,120,45,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_92",66,35,91,22,61,106,72,50,86,45,53,50,40,33,35,10,37,84,54,61,45,84,14,126,221,110,56,48,34,16,76,33,83,14,40
"ASV_93",0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,214,52,78,86,220,168,179,37,28,35,84,13,111,252,194,70,162
"ASV_94",69,125,50,122,15,0,110,45,53,1,58,0,97,201,62,15,132,132,35,12,97,39,27,25,94,0,0,0,31,19,41,24,0,0,81
"ASV_95",0,0,0,0,0,0,0,0,0,14,0,4,8,0,0,0,0,0,194,47,79,90,62,157,249,144,20,163,172,101,172,87,114,48,116
"ASV_96",17,0,0,15,9,15,0,11,0,23,18,0,11,0,12,10,0,13,61,109,114,111,141,84,83,103,68,78,103,94,94,154,111,103,100
"ASV_97",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,142,64,84,57,84,133,197,143,19,169,189,83,185,101,120,38,192
"ASV_98",48,9,0,14,9,0,23,8,9,0,0,0,9,35,0,0,12,23,51,20,28,47,47,346,171,0,0,30,110,10,141,196,22,23,62
"ASV_99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,165,72,51,131,46,20,36,153,90,47,176,116,95,74,174,170
"ASV_100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,87,80,62,109,21,13,122,190,41,51,127,71,104,102,395,79
"ASV_101",0,0,0,5,2,0,0,0,9,0,0,3,0,0,0,3,0,0,117,107,134,91,165,60,34,79,201,117,75,152,98,96,72,102,103
"ASV_102",144,114,101,54,29,61,166,52,73,36,136,89,134,217,124,49,44,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_103",59,17,31,92,8,0,13,7,104,43,44,36,8,0,10,7,8,31,28,6,16,0,0,46,53,80,0,9,108,0,17,2,17,0,60
"ASV_104",74,70,67,103,103,35,99,105,107,151,120,60,63,33,109,47,86,57,0,18,10,4,2,5,9,0,0,0,0,0,2,9,5,0,0
"ASV_105",0,0,0,0,429,0,0,0,0,0,64,0,0,50,0,454,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_106",41,31,47,107,57,100,74,130,49,105,85,144,57,28,87,42,74,62,12,21,40,19,16,22,71,22,0,0,0,0,0,20,0,0,0
"ASV_107",68,146,160,113,72,27,84,204,65,38,110,0,69,27,93,73,29,104,0,0,0,0,0,3,0,0,0,0,0,0,11,0,12,0,0
"ASV_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,71,56,71,200,48,27,39,360,26,55,80,88,58,36,176,34
"ASV_109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,68,64,59,157,63,58,73,168,84,91,118,85,133,83,64,103
"ASV_110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,75,74,43,51,104,180,128,24,143,123,88,189,77,121,35,91
"ASV_112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,37,102,148,56,163,164,74,49,112,128,34,107,104,92,37,63
"ASV_113",20,10,21,7,29,39,28,23,23,27,13,15,5,20,2,15,0,2,69,115,70,68,66,103,64,79,35,53,99,62,72,50,60,48,95
"ASV_114",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,158,13,28,44,23,334,472,62,0,0,70,0,51,76,53,0,130
"ASV_115",16,47,18,46,11,0,39,26,17,0,24,4,20,201,21,162,415,22,8,0,9,0,10,0,0,0,0,0,0,0,0,0,0,19,40
"ASV_116",26,31,0,0,0,0,13,24,0,12,0,0,39,0,18,118,699,0,0,0,39,0,0,11,0,11,0,0,10,0,0,0,0,0,0
"ASV_117",69,35,31,38,65,35,100,141,103,113,29,76,14,35,42,29,49,127,2,0,0,18,7,38,0,0,14,0,0,0,0,0,0,0,0
"ASV_118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"ASV_119",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,55,208,91,45,91,48,29,63,80,66,47,82,76,98,56,168,81
"ASV_120",76,128,7,32,7,0,63,29,27,0,10,0,16,69,0,0,35,0,23,4,50,98,34,74,64,0,0,65,40,3,79,87,75,31,113
"ASV_122",27,41,66,36,16,69,33,128,49,93,20,51,15,33,15,84,19,35,29,0,84,29,0,82,61,66,37,38,39,0,0,0,0,0,28
"ASV_123",38,14,12,7,28,12,16,8,17,15,4,21,3,18,8,13,6,4,59,67,61,122,47,173,106,79,26,36,25,33,61,78,73,21,30
"ASV_124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,56,49,36,58,32,39,70,60,95,75,126,85,83,100,128,116
"ASV_125",33,87,72,123,102,173,77,26,105,123,89,140,8,30,53,51,3,13,0,7,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV_126",10,19,14,17,10,38,10,18,17,16,22,7,0,0,0,27,3,3,59,55,58,72,61,50,44,84,56,81,58,121,64,81,77,63,45
"ASV_127",24,38,20,26,19,43,22,23,31,24,54,21,31,42,18,9,21,32,0,20,85,44,15,67,42,85,16,0,0,27,55,0,105,0,25
"ASV_129",251,170,26,0,0,0,90,97,0,0,0,0,59,25,0,0,104,336,0,0,31,0,41,0,0,0,0,0,0,0,64,0,0,0,0
"ASV_130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,73,45,48,41,35,13,65,241,52,43,144,37,63,52,210,40
"ASV_131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,87,57,55,105,53,30,48,17,101,45,84,126,91,101,102,115
"ASV_132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0
"ASV_133",0,0,0,0,0,0,28,6,11,0,0,0,8,0,0,0,0,0,50,67,0,8,147,204,332,0,0,33,108,0,61,62,6,0,65
"ASV_134",76,0,34,0,13,0,60,9,19,0,0,0,8,27,9,0,0,6,18,110,39,22,185,38,47,30,0,75,76,0,89,52,0,0,191
"ASV_135",73,42,44,67,37,94,54,80,132,88,53,37,15,32,50,68,31,104,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_137",76,70,51,87,64,45,131,108,63,0,15,0,78,89,44,12,39,13,17,0,10,13,0,33,19,0,0,14,0,0,34,10,16,0,0
"ASV_138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,80,72,26,137,30,62,18,41,47,61,94,225,64,142,30,30
"ASV_139",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,55,116,65,91,75,93,89,63,135,40,49,55,47,52,47,26,30
"ASV_141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,34,106,83,49,94,98,44,10,24,129,20,68,103,49,18,103
"ASV_142",0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,18,80,68,57,116,27,53,71,101,69,37,72,92,83,44,108,37
