"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","ID","cl"
"LOC4327097",-1.15757222925635,-1.15757222925635,-1.15757222925635,-1.15757222925635,0.737818060161651,0.689351032691224,0.603643041157499,0.906908650316595,0.871425038632739,0.82114309406569,"LOC4327097",6
"LOC4346166",-1.22821664165584,-1.31248520937407,-0.987457301220184,-0.882668676305553,0.467676238003842,0.152275258244816,0.692831892458621,0.933383405087782,1.28067669808029,0.883984336680283,"LOC4346166",6
"LOC107276804",-0.982046181235988,-1.00899480481899,-0.520002171843763,-0.462647729145961,-0.107397040606175,-0.427119037137355,-0.668204580721033,1.36053261715626,1.21176177440016,1.60411715395285,"LOC107276804",6
"LOC4340541",-1.16444018197415,-1.02846884855544,-1.20518935127278,-1.16402345912924,0.469920719039287,0.576812138773922,0.567418307278667,1.04819552559381,0.957336489653848,0.942438660592072,"LOC4340541",6
"LOC4326508",-1.33924903539721,-0.923601546868477,-0.976411906005485,-1.28917314575601,0.480231934801079,0.711773523425149,0.43044210300035,0.951235970914182,0.969560434552635,0.985191667333792,"LOC4326508",6
"LOC4325617",-1.07294982446172,-1.12125698579869,-1.32711706878318,-0.850083089966395,0.634227741439846,0.596880043012113,0.0345561124906184,1.2520860841371,0.750428300267628,1.10322868766267,"LOC4325617",6
"LOC107278336",-1.15758592150145,-1.15758592150145,-1.15758592150145,-1.15758592150145,0.676440778938038,0.677017981512727,0.670246784301282,0.839632042053995,0.817602110873088,0.949403988326671,"LOC107278336",6
"LOC4346545",-1.07892369909812,-0.930985264051134,-1.14929315744492,-1.28055229470026,0.3845461104094,0.629621035417261,0.239762579680744,0.98543092851294,1.1861510176793,1.01424274359479,"LOC4346545",6
"LOC4348845",-1.20974028420406,-1.20901815362492,-1.0105535933922,-1.15946933864955,0.612238560778448,0.61621568185612,0.569200690561328,0.780142425973929,1.00849518168218,1.00248882901872,"LOC4348845",6
"LOC4351591",-1.14890524493084,-1.19938983183033,-1.03745371899874,-1.16814260750922,0.497044732189778,0.55036669603512,0.527293374958443,0.930229728083663,1.0884262705203,0.960530601481828,"LOC4351591",6
"LOC112939371",-1.14325129501463,-1.16610069826151,-1.16600877374748,-1.15591578595751,0.679330998425077,0.680325609219056,0.680523700956106,0.800120190100992,0.950405663773446,0.840570390506444,"LOC112939371",6
"LOC4347421",-1.17490965342246,-1.17470952363076,-1.14408333937843,-1.12919465535748,0.662560812031389,0.681202597836235,0.609683255805397,0.945775912068258,0.882825078887877,0.840849515159977,"LOC4347421",6
"LOC9267632",1.37257665220812,-0.281198141919842,-0.845853627292902,-1.33178947962054,-0.815135011330594,-0.213621474009402,-0.886878772227514,0.822921502837805,1.09288452612849,1.08609382522639,"LOC9267632",6
"LOC4338209",-1.15539405351865,-1.1607426968397,-1.16050353463189,-1.16133947788755,0.713636502859605,0.714013245528249,0.709576496492207,0.82765517839404,0.749859385682267,0.923238953921423,"LOC4338209",6
"LOC107275973",-0.0450320732896298,0.282262124879364,-1.13918650806891,-0.685812683444216,-0.725542905418837,-0.845558548762306,-0.775371085432363,1.43007470667459,1.50416819493587,0.999998777926457,"LOC107275973",6
