"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4327998",3.115272,2.076849,2.949599,4.562903,6.410678,6.711931,676.793073363764,1.15958760472608,0.184258521862851,6.2932644471619,3.1085808356811e-10,2.12473371709057e-09
"LOC112936389",0.207043,0,0.038963,1.690884,0.978983,1.868599,36.8726956041284,4.28352830848148,0.680915152201331,6.29084004759369,3.15752558902552e-10,2.15577299515902e-09
"LOC107278619",4.435608,3.427006,3.881602,7.154083,7.74111,8.094435,266.506918941969,1.01082041533058,0.160863619104187,6.28371051801278,3.3058602869543e-10,2.25200775562324e-09
"LOC4325668",5.513676,3.903708,4.301853,9.348324,8.028077,9.63373,447.434408254503,1.01857362152471,0.162318468099729,6.27515546104648,3.49285119639491e-10,2.37541131238805e-09
"LOC112936414",1.487699,1.570937,1.858032,4.328292,4.747156,4.713313,97.7206448971194,1.51177081355106,0.241175818730882,6.26833494960777,3.64929148276093e-10,2.47903998083019e-09
"LOC4328633",4.122585,2.85439,3.484447,6.212077,6.396905,8.030259,588.554789614723,1.02020193464925,0.162836177549333,6.26520439132866,3.72336703192067e-10,2.52654830456268e-09
"LOC4336188",1.803166,1.931261,1.580598,4.960082,3.860175,3.879554,180.007686713709,1.29802721260785,0.207667683333772,6.25050172357153,4.09136218876486e-10,2.76779291306465e-09
"LOC9267195",8.070878,5.174806,6.415877,14.508085,11.903387,19.520811,714.233087827825,1.26487646099282,0.20240708446622,6.24917089403519,4.12637233465048e-10,2.78915801562306e-09
"LOC4325812",2.712419,2.291949,3.277841,5.829678,4.880441,6.73602,403.949499582815,1.10998103663375,0.177847313234849,6.24120216630998,4.34220589842667e-10,2.930988981438e-09
"LOC9266153",0.21558,0.249056,0.072922,1.794803,1.982478,0.997433,43.5983966806759,3.22816000560117,0.517597660505388,6.23681336281382,4.4657425281782e-10,3.01187741441761e-09
"LOC9266659",152.987924,102.569192,101.05094,1682.876764,1038.387141,486.634021,13615.7418866946,3.21192651689969,0.51503886347874,6.23627990945245,4.48099008713917e-10,3.02049174390756e-09
"LOC4326895",4.583754,5.21038,5.037057,9.522009,10.759304,9.49726,223.133259149771,1.04135766842088,0.167057023366142,6.23354617146814,4.55992873626891e-10,3.07200498467711e-09
"LOC4346404",0.769502,1.168401,0.936126,2.921522,3.042335,2.636864,95.6230772241797,1.62484630035223,0.260730476605423,6.23190016566875,4.60811126242035e-10,3.1036087111798e-09
"LOC4339109",0.703941,0.671581,0.419726,2.694888,3.259459,3.025523,46.1868230546361,2.40248197511878,0.38631351038742,6.21899548040506,5.00347717185535e-10,3.36432150993513e-09
"LOC4348342",57.871993,31.020167,46.275179,90.968813,89.201899,103.940438,2168.56876536255,1.11331273818512,0.179208150443079,6.21240013600129,5.21813433653257e-10,3.49997864484988e-09
"LOC4351352",3.600363,4.639595,3.839323,7.389706,10.39891,13.916037,352.592764576035,1.42485920617616,0.229385097023858,6.21164680994058,5.24321721604804e-10,3.51583642333243e-09
"LOC9267422",1.647327,1.185966,0.634646,4.317531,4.467332,4.90082,90.8738861644914,2.0456565040691,0.329890473291388,6.20101721537801,5.60993762405711e-10,3.75040694406973e-09
"LOC4332406",0.754231,0.801306,0.76248,2.089337,1.715385,1.449755,220.953680204688,1.22133580158988,0.1969715226896,6.2005704424316,5.62588721322172e-10,3.76003984392979e-09
"LOC107276231",0.086192,0.029737,0.109269,1.182271,1.237613,1.087817,25.5658147390781,3.9506920288779,0.637241310213708,6.19967972188272,5.65781768428115e-10,3.78034530626702e-09
"LOC9270343",1.613791,0.62166,0.912664,4.582204,2.828424,4.119967,222.868726961544,1.91531281957343,0.309041839764128,6.19758418806742,5.73363719776088e-10,3.82681478597068e-09
"LOC9266472",0.406708,0.495314,0.345317,0.999987,1.140306,0.904163,177.602700005418,1.33023957247673,0.215045461558199,6.18585280915921,6.1767621990768e-10,4.10796762275386e-09
"LOC107276116",0.577653,0.656834,0.479514,1.769369,2.330329,2.154043,67.7960011197898,1.9141924133264,0.309629056941599,6.18221181252847,6.32096343298157e-10,4.20158157604069e-09
"LOC107275570",0.179235,0.186146,0.137348,2.243357,0.591491,2.171257,56.2837495280948,3.41518654830066,0.552473695471536,6.18162742641674,6.34441181866296e-10,4.21487217392285e-09
"LOC107276754",1.132264,0.912283,1.245059,3.126678,3.025775,2.406591,130.850700024658,1.42374530456298,0.230744559648411,6.17022263377463,6.81939032195659e-10,4.51444749059713e-09
"LOC4330556",2.717034,2.200875,2.796812,5.145912,5.288359,7.20265,229.025437737038,1.22854829074747,0.199705499549447,6.15179999308574,7.6608451491201e-10,5.05230771142187e-09
"LOC4343450",61.491009,44.692624,47.439115,103.231079,77.252838,122.507818,6848.61244138726,1.01929718715646,0.16640205125494,6.12550854673553,9.03944185476848e-10,5.92944629914509e-09
"LOC4337232",3.541743,2.537196,2.756366,6.466976,5.81564,8.697841,264.616718351534,1.2870130203294,0.210587521918949,6.11153504538955,9.86773264216959e-10,6.46234554145628e-09
"LOC4325799",5.969862,5.468336,4.201563,10.558313,10.662117,12.387034,251.704643242755,1.14740392011358,0.187940360160766,6.10514909693732,1.02704761369334e-09,6.7134917394288e-09
"LOC4324774",2.326746,1.621254,1.90593,3.989258,4.609471,4.904545,176.029099450313,1.24515553155617,0.204038516136665,6.10255139633619,1.04388526337493e-09,6.81807640044295e-09
"LOC4350708",0.114302,0.049851,0.103008,0.413468,0.397508,0.482078,50.4014713676028,2.30410925993086,0.378546225116166,6.08673157214495,1.15238934579821e-09,7.48868987013914e-09
"LOC107278593",3.092546,3.097149,2.461727,7.19036,8.49617,7.928437,101.359797650981,1.49782024283929,0.246206631695638,6.08359016377309,1.17520778919528e-09,7.6308783502736e-09
"LOC112936998",2.741236,2.321863,2.790129,5.320308,6.810925,5.061089,212.01512645052,1.17095130800594,0.192782162238651,6.07396086032266,1.24793156759634e-09,8.09447613656431e-09
"LOC4327761",5.708193,4.391676,5.221944,7.871037,14.928982,13.017954,778.960595745067,1.26356857045564,0.20826036694399,6.06725412519546,1.30115593235019e-09,8.42627062796591e-09
"LOC9266864",0.770473,0.537971,0.817339,1.474556,1.537247,1.90086,215.577428540714,1.24336259440339,0.205099051575525,6.06225423692678,1.34226816390684e-09,8.67180554384284e-09
"LOC4331861",0.881488,0.799417,0.735852,2.820194,2.285124,2.726413,72.6608826842955,1.75099932296228,0.28893423313925,6.06020028827251,1.35952152404647e-09,8.76934496800378e-09
