"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","Kit_microbiota_vs_germfree_log2FoldChange","Kit_microbiota_vs_germfree_pvalue","Kit_microbiota_vs_germfree_padj","MH63_microbiota_vs_germfree_log2FoldChange","MH63_microbiota_vs_germfree_pvalue","MH63_microbiota_vs_germfree_padj"
"LOC107281116",77.69102486283,95.5843001242556,68.9241009535263,35.6002015461654,37.5446802089996,38.4840689171446,0,0,0,0,-1.11232825599644,0.000263572883688586,0.000836143351321941,0,0,0
"LOC4338370",42.3769226524527,88.3247330262109,27.2292744507758,2.88650282806746,18.7723401044998,3.12032991220091,40.5689158588765,23.156569964945,0,0,-2.63527706539559,0.000263784463960718,0.000836705808492943,-7.45729308077605,1.20887381130566e-05,8.15439667680788e-05
"LOC4337966",25.89700828761,26.6184126928307,37.4402523698168,4.81083804677911,7.34569830176079,9.36098973660274,35.739283018534,23.156569964945,29.8032936184025,29.7183112842713,-2.07556720193546,0.000265224609019884,0.000840836765418537,0.012713226999955,0.983522858572621,0.989800095719947
"LOC4336019",83.5767085645595,96.7942279739297,63.8186119940058,27.9028606713188,42.4418124101734,34.32362903421,0,0,0,0,-1.21048289593113,0.000276848240466185,0.000876093848476422,0,0,0
"LOC112938716",51.79401657522,48.3971139869649,46.8003154622709,18.2811845777606,13.8752079033259,21.8423093854064,0,0,0,0,-1.45375056058568,0.000284125535353429,0.000897377855448563,0,0,0
"LOC4326959",48.2626063541822,41.1375468889201,41.6948265027505,20.2055197964722,8.97807570215207,11.44120967807,28.0118704739861,7.36799953430068,11.4628052378471,10.1891352974644,-1.69697856923781,0.000286664086362649,0.000904342383344905,-0.715031182834559,0.480247813023064,0.639630361645108
"LOC4332388",122.422220995974,111.313362170019,84.2405678320877,62.5408946081284,31.8313593076301,45.7648387122801,0,0,0,0,-1.1835067108735,0.000288857109943734,0.000910201954493502,0,0,0
"LOC4347856",54.1482900559118,62.9162481830543,39.1420820229902,4.81083804677911,15.5075853037172,21.8423093854064,19.3185313613698,19.9988558788161,1.14628052378471,0,-1.88876898178346,0.000289755918838355,0.000912798459861458,-5.29876633950553,0.00206243467555005,0.00816345204584374
"LOC4325702",12.948504143805,18.1489177451118,15.3164668785614,1.92433521871164,0,0,0,0,0,0,-4.62794722637888,0.000290764077857716,0.000915383672430174,0,0,0
"LOC4352564",234274.931200383,261660.206698375,228236.62936123,123785.749446455,69020.9974320445,41798.8993938727,7254.10852619434,6416.47502301385,20036.9835557568,26794.029453899,-1.62609097543716,0.000292656138995012,0.000920298620972952,1.7764392553938,3.72885194898173e-23,1.43431774016801e-21
"LOC4335981",35.3141022103773,22.9886291438083,37.4402523698168,7.69734087484657,6.52950960156514,10.4010997073364,53.1259612437668,66.3119958087061,53.8751846178814,50.0965818792002,-1.97639520476746,0.000294645440440884,0.000926050207350129,-0.200396242205728,0.652821446303595,0.779703422813205
"LOC112939721",15.3027776244968,29.0382683921789,25.5274447976023,5.77300565613493,3.26475480078257,3.12032991220091,53.1259612437668,46.31313992989,5.73140261892356,21.2273652030509,-2.52820326287403,0.000294841725411661,0.000926428531648794,-1.8543577990947,0.0149808165959129,0.0442439552838645
"LOC107278693",98.8794861890563,54.4467532353355,72.3277602598733,30.7893634993863,8.16188700195643,29.1230791805419,0,0,0,0,-1.74268466059825,0.000298828727042007,0.000938352189584628,0,0,0
"LOC4343219",129.48504143805,127.042424215783,92.7497160979551,59.6543917800609,46.5227559111516,67.6071480976864,16.4207516571643,24.2091413269879,18.3404883805554,13.5855137299526,-1.00740271563129,0.00030168196392858,0.000946459302772336,-0.352587537953182,0.647321169687943,0.775983694509908
"LOC4338556",11.7713674034591,35.0879076405495,10.2109779190409,1.92433521871164,0,2.08021994146728,0,0,0,0,-3.88796099254341,0.000302519128084263,0.000948963742228596,0,0,0
"LOC107277442",12.948504143805,33.8779797908754,14.4655520519747,0.962167609355821,1.63237740039129,4.16043988293455,21.2503844975067,25.2617126890309,0,9.34004068934241,-3.20463479590565,0.000314093614618008,0.000982579330378475,-2.26793433610827,0.0845657223194691,0.180503348628519
"LOC107276699",52.9711533155659,106.473650771323,51.9058044217914,6.73517326549075,13.8752079033259,33.2835190634764,16.4207516571643,12.6308563445154,0,0,-1.97918776713893,0.000315478274926392,0.000986319166696987,-6.32341179185493,0.00106875092888507,0.0045969315925521
"LOC4337704",278.98140746198,307.321673817227,269.740000027998,59.6543917800609,134.671135532281,188.259904702788,133.297866393451,127.361134807197,42.4123793800343,78.9657985553494,-1.16282458451985,0.000315918707355802,0.00098744318211556,-1.0915531663715,0.0113536756737336,0.0350251521096321
"LOC4328351",55.3254267962577,43.5574025882684,71.4768454332865,17.3190169684048,20.4047175048911,26.0027492683409,38.6370627227395,84.2057089634363,53.8751846178814,23.774649027417,-1.43046809924273,0.000317087616917358,0.000990462574061795,-0.669924862760931,0.312770330307206,0.478282462861161
"LOC4346779",47.0854696138363,77.4353823791438,73.17867508646,29.8271958900305,8.97807570215207,23.9225293268737,0,0,0,0,-1.67086884592872,0.000337345032133579,0.0010499767335267,0,0,0
