"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4327759",0.793157,0.75263,2.200077,2.264421,27.6358495530579,1.62083523962025,0.633702151815285,2.55772405849855,0.0105359659667512,0.0328674240688621
"LOC4327285",1.713487,1.414868,2.459609,3.667866,90.5561921455022,1.06478006403454,0.416488101013657,2.55656779015549,0.0105710471350128,0.0329583636169878
"LOC4334992",0,0.150847,0.501442,0.970223,14.3174858999972,3.33360861218411,1.30516766784865,2.55416119652964,0.0106443964912747,0.0331626576473259
"LOC107281305",0.623578,0.586759,1.631463,1.294485,40.3181791659835,1.35310565050817,0.530149640283277,2.55230890996202,0.0107011592784213,0.0333219711816725
"LOC4351551",0.78125,0.907354,2.386925,1.761957,38.0043142068162,1.41393667508413,0.55570173009583,2.54441654309821,0.0109460465442969,0.0339561117370381
"LOC4325803",3.43455,3.412585,5.639142,7.624168,76.3481036461602,1.04918781472429,0.412421042367684,2.54397255945276,0.0109599694233512,0.033989817295211
"LOC107276005",1.041162,1.03882,2.391279,2.363178,43.065870751047,1.27490570907482,0.50142419104514,2.54256920954987,0.0110040805980689,0.0341123429917549
"LOC107275978",0.109649,0,0.738734,0.649438,8.10359720179939,3.94069337877051,1.55012221475459,2.54218237843549,0.0110162674729514,0.0341406014393821
"LOC107277158",2.604996,2.187587,5.648574,5.651022,40.516768040074,1.32670975239466,0.522406021180653,2.53961420543404,0.0110974806986938,0.0343539805589054
"LOC4351004",1.105059,1.447246,2.660295,3.605343,41.8774843752921,1.38230850659049,0.546116176580434,2.53116198689803,0.0113685332289291,0.0350640737940323
"LOC4337180",0.210813,0.14008,1.334387,0.677256,13.7674296557443,2.54633310397706,1.00643213212211,2.53005942746283,0.0114043208896278,0.0351569975511777
"LOC107276755",0.522206,0.929261,1.813281,1.423866,58.9362138482752,1.26497521859253,0.500504558231758,2.52739999623896,0.0114910544428428,0.0353655334202276
"LOC107277232",0,0.02725,0.36412,0.283898,6.96038567123818,4.72069974840883,1.86798529810685,2.52716108268793,0.0114988748527653,0.0353845779304052
"LOC107276957",0.544296,0.399682,1.861556,1.705597,18.7068895258026,1.99001296493826,0.787464744159482,2.5271137275642,0.0115004254992627,0.0353845779304052
"LOC4325090",1.667908,2.073798,3.188939,4.171934,72.6712067129083,1.06882801824712,0.42330111170564,2.52498278102887,0.0115703958307785,0.0355604935728086
"LOC9272330",3.068864,3.302679,9.377996,4.051121,137.813171073695,1.15561925673393,0.458074909119527,2.52277353272887,0.0116433358074057,0.0357352684989028
"LOC4327969",1.387264,2.050961,3.224724,4.713032,53.6022934697634,1.30664027203954,0.518053179704611,2.52221262841119,0.0116619192942283,0.0357824250163647
"LOC107278688",0.537281,0.40186,1.092386,1.501867,30.334438041583,1.60675091017354,0.637923489037922,2.51872040735912,0.0117782141528728,0.0360944225032145
"LOC9272410",3.121824,2.203651,5.168716,5.39229,69.0882447630265,1.07223170518069,0.42594261767302,2.51731491682713,0.0118253080899157,0.0362237634008122
"LOC107277721",0.446632,0.409219,1.438289,2.327169,15.9149687099313,2.25544191214759,0.897077704093602,2.51421019813046,0.0119299305820281,0.0364939662397126
"LOC107277911",0.771741,1.019347,3.032942,1.791748,38.7291164197634,1.492622466088,0.59455430969749,2.5104896924344,0.0120563841848876,0.0368149415715707
"LOC4330144",0.519062,1.383578,2.365342,12.641172,104.540125316234,3.08593155507246,1.22972886377726,2.50944061408273,0.0120922546282774,0.0368991349369328
"LOC4342127",4.35803,2.735752,5.936386,7.491152,111.087660785624,1.00823121788199,0.401970689026304,2.5082207370001,0.0121340839962982,0.0370115364919328
"LOC4346730",0.35853,0.199687,1.647793,0.691489,23.676821506564,2.08744075096266,0.834536424290005,2.50131772587228,0.0123732116817037,0.0376479561132226
"LOC4338696",0,0.151221,0.601275,0.632802,13.203052730362,3.20126172435484,1.28370491067527,2.49376760790832,0.0126395266947897,0.0383480618184033
"LOC112939439",0.207552,0.287989,0.820429,1.684887,14.5722950330585,2.44134237094364,0.979516645472523,2.49239498096117,0.0126884847320586,0.0384546184634486
"LOC4327078",0.3134,0.902424,2.570562,3.001689,16.563708352021,2.29238311908008,0.920672516278454,2.48990067428792,0.0127778799625389,0.0386886293350304
"LOC107276812",0,0,0.066845,0.523507,5.24316060656356,5.8305108113533,2.34436251044981,2.48703465669847,0.0128812849824169,0.0389804830562235
"LOC4339057",0.159324,0.249059,1.13731,0.649488,17.0276498017245,2.19469033342647,0.882594363467489,2.48663533812304,0.0128957508810708,0.039008330522292
"LOC4339359",1.142782,1.034973,3.224044,1.818634,55.4492095758028,1.28456506340556,0.516874213792916,2.48525662361677,0.0129458073714139,0.0391384464629651
"LOC4334213",58.481452,59.253367,98.901655,347.968661,3059.76312216868,2.02328311319491,0.816423236586627,2.4782282308059,0.0132036655835468,0.039793560650535
"LOC4351457",0.093054,0.085568,0.577547,0.393557,12.0188008800806,2.54012343160212,1.02505782461606,2.47802940536896,0.0132110256920491,0.0398103461929152
"LOC4334017",4.612591,3.34285,7.680612,52.713256,170.082477427098,3.0350412070229,1.22501053165663,2.47756335851129,0.0132282920057902,0.0398515740060616
"LOC107277881",3.737062,2.579985,5.410892,8.961999,61.4244202279757,1.27434786333485,0.51488524840714,2.47501334962926,0.0133231195722909,0.040093789584562
"LOC4330391",1.02383,1.148156,1.65802,3.127703,69.576266487158,1.24710151392536,0.504082871727897,2.47400097061528,0.0133609333801371,0.0401967025494706
"LOC4334250",0.280812,0.627722,0.727528,3.201623,34.650502664696,2.22574467059509,0.900152858484816,2.47262967574371,0.0134123044637502,0.0403294245526857
"LOC4345514",0.575554,0.341949,1.072879,1.088118,46.7679610666762,1.30488135964537,0.528295009506998,2.46998615577133,0.0135118281191055,0.0405837150224555
