"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC9270180",44.186756,41.809711,16.049422,111.770206,1062.31030071884,0.673805164606899,1.19893380751476,0.562003640554278,0.574113538705371,0.719843576925136
"LOC4345187",7.449535,9.178861,4.584501,8.44351,91.7779374219708,-0.254782060258368,0.453384958774025,-0.561955255302936,0.574146505249742,0.719844315751284
"LOC4334710",44.075362,45.468742,43.678821,44.500188,2532.01853668474,0.066645494356642,0.118627346045946,0.561805490707253,0.574248550726979,0.719920944847682
"LOC4326582",33.776874,33.848447,24.865973,46.457657,895.542245767864,0.17145126860185,0.305198057115892,0.561770511326503,0.574272385952127,0.719920944847682
"LOC4335946",50.914501,54.131811,49.30048,43.978682,946.574794407075,-0.0845109291316918,0.150484783589107,-0.56159119291719,0.574394582281107,0.720033533370312
"LOC9271595",0.957466,0.538986,0.407512,0.596547,18.0555038766784,-0.452322253268856,0.805757552826989,-0.561362722176032,0.574550291239531,0.720182154942793
"LOC4350626",1.345855,0.754776,1.702273,0.959767,26.6955729151551,0.405496688403771,0.722395634387204,0.561322174583387,0.574577927602,0.720182154942793
"LOC4324427",13.34702,11.441315,10.17241,10.824634,182.58527577974,-0.151433620614506,0.269851222566633,-0.56117448412565,0.574678595542728,0.720267727307147
"LOC107278601",11.372689,10.117054,2.230564,11.142901,207.898054970076,-0.585198885191162,1.04318000509177,-0.560975941194042,0.574813938408607,0.720396747048397
"LOC4332959",25.799959,23.208973,22.146429,21.127346,705.691544593068,-0.0935769027317188,0.1668535335976,-0.560832609978749,0.574911653888192,0.720478597649297
"LOC4339629",8.636497,11.068814,9.468348,7.43655,381.315484363592,-0.134440405271244,0.239795662787929,-0.560645691870337,0.57503909635814,0.720597690752482
"LOC9270198",1.8107,1.176101,1.180023,2.370954,44.0450513585231,0.343339160408252,0.612641506777821,0.560424255636938,0.5751900908835,0.720746282512137
