"","o1_xgl_root_1","o1_xgl_root_2","o1_xgl_root_3","o1_xgl_soil_1","o1_xgl_soil_2","o1_xgl_soil_3","o2_xgl_root_1","o2_xgl_root_2","o2_xgl_root_3","o2_xgl_soil_1","o2_xgl_soil_2","o2_xgl_soil_3","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","XF1_1","XF1_2","XF1_3","XF2_1","XF2_2","XF2_3"
"ASV_149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,422,576
"ASV_150",61,0,28,43,39,51,110,183,84,73,46,29,21,36,69,141,76,97,57,54,64,21,10,0,0,0,0,0,0,0
"ASV_151",0,0,141,0,196,0,25,555,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_152",0,0,0,0,15,22,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_153",0,0,0,0,0,0,0,0,0,0,0,0,22,30,30,53,140,86,90,238,409,96,36,142,0,0,0,0,0,0
"ASV_154",0,0,0,0,0,0,0,427,0,220,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,77,40,302,401,362
"ASV_156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,62,60,0,0,0,6,4,109,131,42,15,235,283,333
"ASV_157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,17,0,0,356,421,520
"ASV_158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,198,67,48,267,363,376
"ASV_159",0,0,0,0,0,0,0,0,0,0,0,0,60,100,121,99,67,52,73,144,116,0,0,105,0,0,0,90,147,145
"ASV_160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,190,60,210,263,266
"ASV_161",0,0,0,59,0,17,6,37,14,65,1020,41,4,0,46,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ASV_162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,179,136,36,201,310,441
"ASV_163",0,0,0,46,123,100,24,0,0,387,246,178,0,0,0,13,0,0,0,0,0,58,0,134,0,0,0,0,0,0
"ASV_164",0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,44,0,0,0,11,9,120,321,157,48,137,159,250
"ASV_166",15,0,76,0,12,16,39,41,43,31,271,25,109,73,232,14,19,11,69,73,103,0,0,22,0,0,0,0,0,0
"ASV_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,27,221,285,116,59,144,146,258
"ASV_168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,206,61,186,177,306
"ASV_169",857,0,371,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"ASV_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,24,7,332,336,466
"ASV_171",10,0,27,144,32,47,38,0,229,0,396,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,130,39,217,253,294
"ASV_173",69,23,72,0,0,0,281,100,0,0,0,0,71,79,64,0,0,0,152,117,110,0,77,0,0,0,0,0,0,0
"ASV_174",361,64,139,54,36,187,33,0,0,0,0,0,6,0,0,0,9,6,24,26,37,26,13,109,18,10,0,19,17,19
"ASV_175",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,892,290,0,3,0,1,4,12,0,0,0,0,0,0,0
"ASV_176",331,52,18,31,0,208,0,0,0,0,0,0,30,67,24,30,0,0,50,0,309,0,0,0,37,20,0,0,0,0
"ASV_177",0,0,0,0,0,0,0,0,0,0,1155,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_178",32,0,0,75,56,112,0,0,0,519,11,68,0,0,8,12,0,5,0,0,0,271,0,28,0,0,0,0,0,0
