"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_12027","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV_12028","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Sedimentibacter"
"ASV_12029","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriales_Incertae_Sedis",NA
"ASV_12030","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","UASB-TL25",NA
"ASV_12031","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV_12032","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA
"ASV_12033","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_12034","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Ferribacterium"
"ASV_12035","Bacteria","Bacteroidetes","Ignavibacteria","Kryptoniales","BSV26",NA
"ASV_12036","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ASV_12037","Bacteria","Zixibacteria",NA,NA,NA,NA
"ASV_12038","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV_12039","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ASV_12040","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_12041","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_12042","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV_12043","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae","Ferriphaselus"
"ASV_12044","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_12045","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"ASV_12046","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV_12047","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ASV_12048","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales",NA,NA
"ASV_12049","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA
"ASV_12050","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA
"ASV_12051","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_12052","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_12053","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA
"ASV_12054","Bacteria",NA,NA,NA,NA,NA
"ASV_12055","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","B122",NA
"ASV_12056","Bacteria","Bacteroidetes",NA,NA,NA,NA
"ASV_12057","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV_12058","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA
"ASV_12059","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV_12060","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_12061","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_10"
"ASV_12062","Bacteria",NA,NA,NA,NA,NA
"ASV_12063","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_12064","Bacteria","Planctomycetes",NA,NA,NA,NA
"ASV_12065","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"ASV_12066","Bacteria",NA,NA,NA,NA,NA
"ASV_12067","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_12068","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_12069","Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA
"ASV_12070","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_12071","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_12072","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium"
"ASV_12073","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae",NA
"ASV_12074","Bacteria","Bacteroidetes","Ignavibacteria","Kryptoniales",NA,NA
"ASV_12075","Bacteria",NA,NA,NA,NA,NA
"ASV_12076","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"ASV_12077","Bacteria",NA,NA,NA,NA,NA
"ASV_12078","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_12079","Bacteria",NA,NA,NA,NA,NA
"ASV_12080","Bacteria",NA,NA,NA,NA,NA
"ASV_12081","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus"
"ASV_12082","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ASV_12083","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","MM1"
"ASV_12084","Bacteria",NA,NA,NA,NA,NA
"ASV_12085","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"ASV_12086","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ASV_12087","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_12088","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ASV_12089","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_4"
